Country;Region;Site;coral_cover;geometry;historical_1995_2014_ensemble;future_2021_2040_ssp119_ensemble;future_2021_2040_ssp126_ensemble;future_2021_2040_ssp245_ensemble;future_2021_2040_ssp370_ensemble;future_2021_2040_ssp585_ensemble;future_2041_2060_ssp119_ensemble;future_2041_2060_ssp126_ensemble;future_2041_2060_ssp245_ensemble;future_2041_2060_ssp370_ensemble;future_2041_2060_ssp585_ensemble;future_2081_2100_ssp119_ensemble;future_2081_2100_ssp126_ensemble;future_2081_2100_ssp245_ensemble;future_2081_2100_ssp370_ensemble;future_2081_2100_ssp585_ensemble
BONAIRE;Central;128;3.9;c(291.7046, 12.11642);26.98463414579853;27.42330860608417;27.582255824766587;27.576169634904158;27.547160396203264;27.636983669891475;27.576325013448713;27.847240664219104;27.96749291742586;28.05293379978956;28.23528039977889;27.47126097766972;27.938973934016687;28.58840912854312;29.280903849036452;29.924931736631617
BONAIRE;Central;128;21.1;c(291.7046, 12.11642);26.98463414579853;27.42330860608417;27.582255824766587;27.576169634904158;27.547160396203264;27.636983669891475;27.576325013448713;27.847240664219104;27.96749291742586;28.05293379978956;28.23528039977889;27.47126097766972;27.938973934016687;28.58840912854312;29.280903849036452;29.924931736631617
BONAIRE;Central;129;0.7;c(291.70698, 12.12071);26.98463414579853;27.42330860608417;27.582255824766587;27.576169634904158;27.547160396203264;27.636983669891475;27.576325013448713;27.847240664219104;27.96749291742586;28.05293379978956;28.23528039977889;27.47126097766972;27.938973934016687;28.58840912854312;29.280903849036452;29.924931736631617
BONAIRE;Central;129;16.2;c(291.70698, 12.12071);26.98463414579853;27.42330860608417;27.582255824766587;27.576169634904158;27.547160396203264;27.636983669891475;27.576325013448713;27.847240664219104;27.96749291742586;28.05293379978956;28.23528039977889;27.47126097766972;27.938973934016687;28.58840912854312;29.280903849036452;29.924931736631617
BONAIRE;Central;130;4.7;c(291.70968, 12.12382);26.98463414579853;27.42330860608417;27.582255824766587;27.576169634904158;27.547160396203264;27.636983669891475;27.576325013448713;27.847240664219104;27.96749291742586;28.05293379978956;28.23528039977889;27.47126097766972;27.938973934016687;28.58840912854312;29.280903849036452;29.924931736631617
BONAIRE;Central;130;13.8;c(291.70968, 12.12382);26.98463414579853;27.42330860608417;27.582255824766587;27.576169634904158;27.547160396203264;27.636983669891475;27.576325013448713;27.847240664219104;27.96749291742586;28.05293379978956;28.23528039977889;27.47126097766972;27.938973934016687;28.58840912854312;29.280903849036452;29.924931736631617
BONAIRE;Central;24;7.8;c(291.71278, 12.12566);26.98463414579853;27.42330860608417;27.582255824766587;27.576169634904158;27.547160396203264;27.636983669891475;27.576325013448713;27.847240664219104;27.96749291742586;28.05293379978956;28.23528039977889;27.47126097766972;27.938973934016687;28.58840912854312;29.280903849036452;29.924931736631617
BONAIRE;Central;24;32.6;c(291.71278, 12.12566);26.98463414579853;27.42330860608417;27.582255824766587;27.576169634904158;27.547160396203264;27.636983669891475;27.576325013448713;27.847240664219104;27.96749291742586;28.05293379978956;28.23528039977889;27.47126097766972;27.938973934016687;28.58840912854312;29.280903849036452;29.924931736631617
BONAIRE;Central;25;14.8;c(291.7156, 12.13053);26.98463414579853;27.42330860608417;27.582255824766587;27.576169634904158;27.547160396203264;27.636983669891475;27.576325013448713;27.847240664219104;27.96749291742586;28.05293379978956;28.23528039977889;27.47126097766972;27.938973934016687;28.58840912854312;29.280903849036452;29.924931736631617
BONAIRE;Central;25;52.3;c(291.7156, 12.13053);26.98463414579853;27.42330860608417;27.582255824766587;27.576169634904158;27.547160396203264;27.636983669891475;27.576325013448713;27.847240664219104;27.96749291742586;28.05293379978956;28.23528039977889;27.47126097766972;27.938973934016687;28.58840912854312;29.280903849036452;29.924931736631617
BONAIRE;Central;26;0.6;c(291.71908, 12.13355);26.98463414579853;27.42330860608417;27.582255824766587;27.576169634904158;27.547160396203264;27.636983669891475;27.576325013448713;27.847240664219104;27.96749291742586;28.05293379978956;28.23528039977889;27.47126097766972;27.938973934016687;28.58840912854312;29.280903849036452;29.924931736631617
BONAIRE;Central;26;29.1;c(291.71908, 12.13355);26.98463414579853;27.42330860608417;27.582255824766587;27.576169634904158;27.547160396203264;27.636983669891475;27.576325013448713;27.847240664219104;27.96749291742586;28.05293379978956;28.23528039977889;27.47126097766972;27.938973934016687;28.58840912854312;29.280903849036452;29.924931736631617
BONAIRE;Central;27;7.9;c(291.72522, 12.13686);26.98463414579853;27.42330860608417;27.582255824766587;27.576169634904158;27.547160396203264;27.636983669891475;27.576325013448713;27.847240664219104;27.96749291742586;28.05293379978956;28.23528039977889;27.47126097766972;27.938973934016687;28.58840912854312;29.280903849036452;29.924931736631617
BONAIRE;Central;27;16.6;c(291.72522, 12.13686);26.98463414579853;27.42330860608417;27.582255824766587;27.576169634904158;27.547160396203264;27.636983669891475;27.576325013448713;27.847240664219104;27.96749291742586;28.05293379978956;28.23528039977889;27.47126097766972;27.938973934016687;28.58840912854312;29.280903849036452;29.924931736631617
BONAIRE;Central;28;18.3;c(291.72471, 12.14094);26.98463414579853;27.42330860608417;27.582255824766587;27.576169634904158;27.547160396203264;27.636983669891475;27.576325013448713;27.847240664219104;27.96749291742586;28.05293379978956;28.23528039977889;27.47126097766972;27.938973934016687;28.58840912854312;29.280903849036452;29.924931736631617
BONAIRE;Central;28;23.5;c(291.72471, 12.14094);26.98463414579853;27.42330860608417;27.582255824766587;27.576169634904158;27.547160396203264;27.636983669891475;27.576325013448713;27.847240664219104;27.96749291742586;28.05293379978956;28.23528039977889;27.47126097766972;27.938973934016687;28.58840912854312;29.280903849036452;29.924931736631617
BONAIRE;Central;29;9.1;c(291.72392, 12.14547);26.98463414579853;27.42330860608417;27.582255824766587;27.576169634904158;27.547160396203264;27.636983669891475;27.576325013448713;27.847240664219104;27.96749291742586;28.05293379978956;28.23528039977889;27.47126097766972;27.938973934016687;28.58840912854312;29.280903849036452;29.924931736631617
