Country;Region;Site;coral_cover;geometry;historical_1995_2014_ensemble;ssp119_2021_2040_ensemble;ssp126_2021_2040_ensemble;ssp245_2021_2040_ensemble;ssp370_2021_2040_ensemble;ssp585_2021_2040_ensemble;ssp119_2041_2060_ensemble;ssp126_2041_2060_ensemble;ssp245_2041_2060_ensemble;ssp370_2041_2060_ensemble;ssp585_2041_2060_ensemble;ssp119_2081_2100_ensemble;ssp126_2081_2100_ensemble;ssp245_2081_2100_ensemble;ssp370_2081_2100_ensemble;ssp585_2081_2100_ensemble
BONAIRE;Central;128;3.9;c(291.7046, 12.11642);8.030259595314662;8.01106392890215;7.981381531556448;7.977881282567978;7.972519073883692;7.973108685016632;8.004417723417282;7.957949403921763;7.934046109517415;7.913344025611877;7.901576040188472;8.028930569688479;7.960558605194092;7.874424393971761;7.779385258754094;7.6978281815846765
BONAIRE;Central;128;21.1;c(291.7046, 12.11642);8.030259595314662;8.01106392890215;7.981381531556448;7.977881282567978;7.972519073883692;7.973108685016632;8.004417723417282;7.957949403921763;7.934046109517415;7.913344025611877;7.901576040188472;8.028930569688479;7.960558605194092;7.874424393971761;7.779385258754094;7.6978281815846765
BONAIRE;Central;129;0.7;c(291.70698, 12.12071);8.030259595314662;8.01106392890215;7.981381531556448;7.977881282567978;7.972519073883692;7.973108685016632;8.004417723417282;7.957949403921763;7.934046109517415;7.913344025611877;7.901576040188472;8.028930569688479;7.960558605194092;7.874424393971761;7.779385258754094;7.6978281815846765
BONAIRE;Central;129;16.2;c(291.70698, 12.12071);8.030259595314662;8.01106392890215;7.981381531556448;7.977881282567978;7.972519073883692;7.973108685016632;8.004417723417282;7.957949403921763;7.934046109517415;7.913344025611877;7.901576040188472;8.028930569688479;7.960558605194092;7.874424393971761;7.779385258754094;7.6978281815846765
BONAIRE;Central;130;4.7;c(291.70968, 12.12382);8.030259595314662;8.01106392890215;7.981381531556448;7.977881282567978;7.972519073883692;7.973108685016632;8.004417723417282;7.957949403921763;7.934046109517415;7.913344025611877;7.901576040188472;8.028930569688479;7.960558605194092;7.874424393971761;7.779385258754094;7.6978281815846765
BONAIRE;Central;130;13.8;c(291.70968, 12.12382);8.030259595314662;8.01106392890215;7.981381531556448;7.977881282567978;7.972519073883692;7.973108685016632;8.004417723417282;7.957949403921763;7.934046109517415;7.913344025611877;7.901576040188472;8.028930569688479;7.960558605194092;7.874424393971761;7.779385258754094;7.6978281815846765
BONAIRE;Central;24;7.8;c(291.71278, 12.12566);8.030259595314662;8.01106392890215;7.981381531556448;7.977881282567978;7.972519073883692;7.973108685016632;8.004417723417282;7.957949403921763;7.934046109517415;7.913344025611877;7.901576040188472;8.028930569688479;7.960558605194092;7.874424393971761;7.779385258754094;7.6978281815846765
BONAIRE;Central;24;32.6;c(291.71278, 12.12566);8.030259595314662;8.01106392890215;7.981381531556448;7.977881282567978;7.972519073883692;7.973108685016632;8.004417723417282;7.957949403921763;7.934046109517415;7.913344025611877;7.901576040188472;8.028930569688479;7.960558605194092;7.874424393971761;7.779385258754094;7.6978281815846765
BONAIRE;Central;25;14.8;c(291.7156, 12.13053);8.030259595314662;8.01106392890215;7.981381531556448;7.977881282567978;7.972519073883692;7.973108685016632;8.004417723417282;7.957949403921763;7.934046109517415;7.913344025611877;7.901576040188472;8.028930569688479;7.960558605194092;7.874424393971761;7.779385258754094;7.6978281815846765
BONAIRE;Central;25;52.3;c(291.7156, 12.13053);8.030259595314662;8.01106392890215;7.981381531556448;7.977881282567978;7.972519073883692;7.973108685016632;8.004417723417282;7.957949403921763;7.934046109517415;7.913344025611877;7.901576040188472;8.028930569688479;7.960558605194092;7.874424393971761;7.779385258754094;7.6978281815846765
